City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Evergreen Terrace,0.22,Yes,Yes,5,3.5,2785,11 - 20 Years,2005,Two,Unknown,"Concrete Perimeter, Slab","Elec Forced Air, Wall Heater",PLSWD,Public,859500.0,3/26/2024,267
Donnelly,Tamarack Resort Phase 2.1,0.3122,Yes,Yes,4,4.5,2794,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",NLSD,NLSD,2075000.0,7/31/2023,25
Donnelly,Donnelly Townsite,0.161,No,Yes,2,1.0,1168,51 - 80 Years,1950,Unknown,Unknown,Concrete Perimeter,Wall Heater,City,Public,255000.0,8/28/2023,53
McCall,Unknown,10.52,Yes,Yes,4,2.0,2801,11 - 20 Years,2008,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Mini-Splits, Propane, Wood Stove",Septic Installed,Well,1025000.0,6/14/2024,338
McCall,Pine Terrace 1,1.67,No,Yes,2,1.0,1283,1 - 5 Years,2019,Unknown,Unknown,Slab,Propane,Septic Installed,Well,610000.0,1/19/2024,190
McCall,Timberlost 4,0.198,Yes,Yes,3,2.5,2136,31 - 50 Years,1991,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",City,Public,650000.0,5/15/2024,306
Donnelly,Lake Cascade Forest 2,0.48,Yes,Yes,3,3.0,2440,31 - 50 Years,1983,Unknown,Unknown,Concrete Perimeter,"Heat Pump, Propane, Wood Stove",NLSD,Well,675000.0,10/10/2023,87
Donnelly,Tamarack Resort Phase 1,1.07,Yes,Yes,4,5.0,4495,11 - 20 Years,2016,Two,One,Concrete Perimeter,"Elec Forced Air, Propane Fire Place, Radiant",NLSD,NLSD,4000000.0,10/2/2023,78
McCall,Valley View 1,1.79,Yes,Yes,3,2.5,1925,21 - 30 Years,2002,Four,Two,Concrete Perimeter,"Elec Forced Air, Heat Pump, Propane Fire Place",Septic Installed,Well,877600.0,8/7/2023,19
Donnelly,Whistler's Cove,0.367,Yes,Yes,3,3.0,1988,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,747500.0,4/12/2024,267
Donnelly,Whistler's Cove,0.368,No,No,3,2.0,1617,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,Elec Forced Air,City,Well,690000.0,8/17/2023,28
McCall,Lick Creek Meadows Phase 2,0.207,Yes,Yes,5,4.5,2946,< 1 Year,2022,Two,Unknown,Concrete Perimeter,"Fireplace, Fireplace Insert, Heat Pump, Propane, Propane Fire Place, Propane Forced Air",PLSWD,Public,1255000.0,10/31/2023,102
McCall,Thompson Wooley,0.22,Yes,Yes,3,2.0,972,31 - 50 Years,1965,Two,Unknown,"Block, Concrete Perimeter","Elec Baseboard, Propane Fire Place",PLSWD,Public,510000.0,9/1/2023,40
Donnelly,Tamarack Resort Phase 1,0.153,Yes,Yes,3,3.5,2400,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Propane, Propane Fire Place",NLSD,NLSD,1995000.0,3/12/2024,229
McCall,Lake Fork Estates,2.63,Yes,Yes,3,2.0,1789,31 - 50 Years,1979,Four,One,Concrete Perimeter,"Elec Baseboard, Radiant, Wood Stove",Septic Installed,Well,685000.0,11/6/2023,97
Donnelly,Royal Scot,0.33,No,Yes,2,1.0,812,31 - 50 Years,1979,Two,One,Block,"Elec Baseboard, Wood Stove",NLSD,Well,550000.0,9/21/2023,50
McCall,Kings Pines 4,2.0,Yes,Yes,3,2.5,2072,< 1 Year,2022,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air","Community, Septic Installed",Community,1051555.0,9/12/2023,40
McCall,Carefree 7,2.4281,No,Yes,3,2.0,1656,1 - 5 Years,2015,Four,Two,Slab,"Wall Heater, Wood Stove",Septic Installed,Well,749000.0,8/2/2023,56
McCall,Broken Ridge,0.54,Yes,Yes,3,2.0,1624,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Propane Forced Air, Wood Stove",City,Public,799900.0,9/29/2023,58
McCall,Unknown,0.285,Yes,Yes,3,2.0,1472,11 - 20 Years,2005,One,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",PLSWD,Public,650000.0,9/21/2023,46
Donnelly,CR 4,1.0,No,No,0,1.0,572,51 - 80 Years,1969,Unknown,Unknown,Pillar/Post/Pier,"Wood Stove, Other",Needs Approval,Needs Water,170000.0,9/22/2023,45
Donnelly,Wagon Wheel Ranch 4,0.46,Yes,Yes,2,2.0,1600,31 - 50 Years,1982,Two,One,Concrete Perimeter,Elec Forced Air,NLSD,Shared Well,685000.0,10/13/2023,61
Donnelly,Wagon Wheel Ranch 5,0.46,No,Yes,3,2.0,1296,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Pellet Stove, Propane Forced Air",NLSD,Well,485000.0,11/9/2023,88
McCall,Evergreen Terrace 3,0.23,Yes,Yes,3,2.0,2025,21 - 30 Years,1993,Two,Unknown,Concrete Perimeter,Elec Forced Air,PLSWD,Public,780000.0,11/15/2023,86
McCall,Blackhawk on the River 2,0.59,Yes,Yes,3,2.5,3457,6 - 10 Years,2017,Three,Unknown,Other,"Fireplace Insert, Propane, Propane Fire Place, Radiant",Community,Community,1970000.0,11/3/2023,73
McCall,Carefree 5,4.104,Yes,Yes,4,3.0,2760,21 - 30 Years,1995,Two,One,Concrete Perimeter,"Propane Forced Air, Wood Stove",Septic Installed,Well,1149900.0,10/20/2023,58
McCall,Hogue Hollow,5.0732,No,Yes,3,2.0,2591,21 - 30 Years,1998,Five or More,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",Septic Installed,Well,903000.0,12/7/2023,105
Donnelly,Unknown,0.31,No,Yes,3,2.0,2100,81+ Years,1914,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Wall Heater, Wood Stove",City,NLSD,535000.0,10/25/2023,62
Donnelly,Tamarack Resort Phase 1,0.067,Yes,Yes,2,2.5,1250,11 - 20 Years,2005,One,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",NLSD,NLSD,1300000.0,2/29/2024,184
McCall,Pearson Corners,3.9,Yes,Yes,4,3.5,2954,1 - 5 Years,2021,Five or More,Unknown,Slab,"Elec Forced Air, Heat Pump, Propane Fire Place, Radiant",Septic Installed,Well,1850000.0,9/15/2023,16
McCall,Hoff and Brown,0.223,Yes,Yes,2,2.0,1260,51 - 80 Years,1968,Two,Unknown,Concrete Perimeter,"Fireplace, Radiant",PLSWD,Public,505000.0,11/17/2023,79
Donnelly,Wagon Wheel Ranch 4,0.476,No,Yes,2,2.0,1212,11 - 20 Years,2004,Unknown,Four,Concrete Perimeter,Radiant,NLSD,Well,533000.0,10/3/2023,33
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2022,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1843250.0,1/26/2024,147
Donnelly,Tamarack Resort Phase 1,0.13,Yes,Yes,3,3.0,1818,6 - 10 Years,2004,One,Unknown,Concrete Perimeter,"Fireplace, Gas Forced Air",NLSD,NLSD,1620000.0,9/6/2023,42
McCall,Blackhawk on the River 2,0.574,Yes,Yes,3,4.0,3616,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,Propane Forced Air,Community,Community,1650000.0,4/30/2024,233
McCall,Evergreen Terrace 1,0.225,Yes,Yes,1,1.0,552,31 - 50 Years,1980,Unknown,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",PLSWD,Public,347000.0,10/12/2023,25
Donnelly,Ora May,0.8,No,Yes,3,2.0,960,1 - 5 Years,2019,Unknown,Unknown,Concrete Perimeter,Elec Forced Air,City,Well,475000.0,2/28/2024,164
McCall,Spring Mountain Ranch 1,0.36,Yes,Yes,4,3.5,3262,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Fireplace, Fireplace Insert, Propane Forced Air",PLSWD,Public,1725000.0,10/27/2023,40
McCall,McCall Acreage,0.114,No,Yes,2,1.0,980,31 - 50 Years,1980,Unknown,Unknown,Concrete Perimeter,"Wall Heater, Wood Stove",City,Public,430000.0,4/12/2024,205
Donnelly,Wagon Wheel Ranch 1,0.481,No,Yes,3,2.0,1344,21 - 30 Years,1999,Two,One,Unknown,"Elec Baseboard, Elec Forced Air, Wood Stove",City,Well,590000.0,10/18/2023,27
McCall,Falcon Point,2.04,Yes,Yes,3,3.5,2650,New-Never Occupied,2022,Five or More,Unknown,Unknown,Unknown,Septic Installed,Well,900000.0,1/16/2024,117
McCall,19th Hole Estates,0.191,No,Yes,3,2.0,1536,31 - 50 Years,1990,Two,Unknown,Concrete Perimeter,Elec Baseboard,City,Public,715000.0,8/4/2023,32
Donnelly,Crane Shores,0.334,Yes,Yes,5,4.0,2548,1 - 5 Years,2021,Three,Unknown,Concrete Perimeter,Elec Forced Air,NLSD,NLSD,950000.0,3/4/2024,161
McCall,Blackhawk on the River 1,0.633,Yes,Yes,4,3.5,3144,New-Never Occupied,2023,Three,Unknown,Unknown,"Elec Forced Air, Fireplace Insert",City,Community,1845000.0,10/23/2023,26
Donnelly,Whistler's Cove,0.346,No,Yes,4,3.5,2570,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,920000.0,2/29/2024,154
McCall,Valley View 1,1.03,Yes,Yes,3,2.0,1810,21 - 30 Years,1994,One,Two,Concrete Perimeter,"Pellet Stove, Wall Heater",Septic Installed,Well,699000.0,10/31/2023,32
McCall,Unknown,9.7,Yes,Yes,5,3.5,4150,21 - 30 Years,1998,Five or More,One,Concrete Perimeter,"Elec Baseboard, Fireplace, Propane, Propane Forced Air, Radiant",Septic Installed,Well,1600000.0,12/15/2023,73
Donnelly,Tamarack Resort Phase 1,0.0666,Yes,Yes,2,2.5,1250,11 - 20 Years,2004,One,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",NLSD,NLSD,1275000.0,3/12/2024,159
McCall,Blackhawk Lake Estates 1,1.967,Yes,Yes,3,3.0,2711,6 - 10 Years,2015,Two,Unknown,"Concrete Perimeter, Slab","Propane Fire Place, Radiant",Septic Installed,Well,1350000.0,11/21/2023,47
