Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Days on Market,City_Donnelly,City_McCall,Closed Year,Closed Month,Closed Day
79,0.13,1,1,3,3.0,1818,5,1,0,2,48,3,2,1620000.0,42,True,False,2023,9,6
10,0.574,1,1,3,4.0,3616,8,3,0,2,72,1,1,1650000.0,233,False,True,2024,4,30
24,0.225,1,1,1,1.0,552,3,0,0,2,17,5,4,347000.0,25,False,True,2023,10,12
56,0.8,0,1,3,2.0,960,0,0,0,2,18,0,8,475000.0,164,True,False,2024,2,28
74,0.36,1,1,4,3.5,3262,8,2,0,2,47,5,4,1725000.0,40,False,True,2023,10,27
50,0.114,0,1,2,1.0,980,3,0,0,2,81,0,4,430000.0,205,False,True,2024,4,12
92,0.481,0,1,3,2.0,1344,2,2,1,9,1,0,8,590000.0,27,True,False,2023,10,18
27,2.04,1,1,3,3.5,2650,8,5,0,9,79,7,8,900000.0,117,False,True,2024,1,16
0,0.191,0,1,3,2.0,1536,3,2,0,2,0,0,4,715000.0,32,False,True,2023,8,4
19,0.334,1,1,5,4.0,2548,0,3,0,2,18,3,2,950000.0,161,True,False,2024,3,4
9,0.633,1,1,4,3.5,3144,8,3,0,9,20,0,1,1845000.0,26,False,True,2023,10,23
99,0.346,0,1,4,3.5,2570,8,3,0,2,19,0,8,920000.0,154,True,False,2024,2,29
89,1.03,1,1,3,2.0,1810,2,1,2,2,66,7,8,699000.0,32,False,True,2023,10,31
88,9.7,1,1,5,3.5,4150,2,5,1,2,5,7,8,1600000.0,73,False,True,2023,12,15
79,0.0666,1,1,2,2.5,1250,1,1,0,2,68,3,2,1275000.0,159,True,False,2024,3,12
6,1.967,1,1,3,3.0,2711,5,2,0,4,70,7,8,1350000.0,47,False,True,2023,11,21
60,0.34,1,1,2,1.0,854,4,0,0,0,55,5,8,150000.0,115,False,True,2024,1,31
63,0.272,1,1,4,3.0,2336,4,2,0,4,9,5,4,695000.0,148,False,True,2024,3,8
94,0.593,0,1,3,2.0,1188,0,0,0,2,41,3,8,399000.0,203,True,False,2024,5,2
100,1.76,1,1,4,2.0,2065,7,3,0,2,19,7,8,1050000.0,85,False,True,2024,1,8
8,1.13,0,1,3,3.0,2450,1,2,1,2,56,7,8,1190000.0,59,False,True,2023,12,14
37,0.44,0,1,4,3.0,2286,3,2,0,2,10,0,4,1495000.0,37,False,True,2023,11,28
68,0.06,1,1,4,3.0,2299,8,2,0,2,33,5,4,1775000.0,67,False,True,2023,12,29
66,2.97,0,1,3,2.0,2380,0,3,0,2,61,7,8,790000.0,52,True,False,2023,12,15
49,2.3,0,1,3,2.0,1356,2,1,0,9,72,7,8,469000.0,34,False,True,2023,11,3
90,0.97,1,1,3,2.0,2072,1,2,0,2,41,7,8,840000.0,104,False,True,2024,2,14
88,20.9,1,1,3,2.5,3107,1,3,0,2,28,7,8,1928000.0,124,False,True,2024,3,6
21,0.24,0,1,3,3.0,924,6,0,0,3,18,0,4,340000.0,71,True,False,2024,1,16
79,0.0689,1,1,2,2.5,1250,1,1,0,2,33,3,2,1250000.0,142,True,False,2024,3,28
32,0.46,1,1,4,3.5,2800,0,2,0,2,18,3,1,1100000.0,101,True,False,2024,2,16
25,0.256,1,1,3,2.0,1174,3,1,0,2,10,0,4,648500.0,53,False,True,2024,1,5
29,0.507,1,1,3,2.0,1500,0,2,0,2,48,0,4,700000.0,37,False,True,2023,12,22
53,0.1837,1,1,3,2.0,1760,1,2,0,2,18,1,1,460000.0,170,True,False,2024,5,7
47,0.22,1,1,4,4.0,2904,8,2,0,2,43,5,4,1150000.0,52,False,True,2024,1,12
32,0.416,1,1,5,3.0,3056,9,3,0,2,77,3,2,935000.0,91,True,False,2024,2,29
25,0.2045,1,1,3,2.0,1206,2,1,0,2,2,5,4,675000.0,122,False,True,2024,4,11
65,1.147,1,1,5,7.0,4466,5,5,0,2,21,0,4,1600000.0,68,False,True,2024,2,20
91,0.165,1,1,3,2.0,1533,0,2,0,2,18,0,4,790000.0,86,False,True,2024,3,14
62,0.48,1,1,3,2.5,1933,0,3,0,4,62,7,4,1378000.0,146,False,True,2024,5,15
96,0.46,1,1,3,2.0,2092,2,0,0,2,41,3,8,695000.0,74,True,False,2024,3,18
63,0.289,1,1,5,3.0,3312,3,0,1,4,3,0,4,830000.0,78,False,True,2023,12,1
3,0.4,1,1,3,3.0,2260,1,2,0,2,68,0,4,1000000.0,48,False,True,2024,2,28
87,0.2309,1,1,3,2.5,1820,2,2,0,2,35,0,4,1065000.0,42,False,True,2024,2,23
88,4.123,0,1,3,2.0,1960,3,2,0,8,18,7,7,790000.0,50,True,False,2024,2,28
82,0.0,1,1,2,2.5,1305,8,2,0,9,79,3,2,1449000.0,2,True,False,2024,1,12
46,0.17,1,1,1,1.0,384,6,0,0,2,16,3,4,350000.0,85,False,True,2024,4,11
68,0.06,1,1,4,3.0,2299,8,2,0,2,33,5,4,1924000.0,91,False,True,2024,4,17
68,0.049,1,1,3,3.0,1990,9,2,0,2,33,5,4,815000.0,81,False,True,2024,4,11
39,0.589,1,1,3,3.5,3524,8,2,0,9,72,0,1,1895000.0,28,False,True,2024,2,29
93,0.459,1,1,3,2.0,1872,1,0,0,2,33,3,8,589000.0,32,True,False,2024,3,7
34,0.172,1,1,3,2.0,1545,4,0,0,2,44,5,4,639900.0,33,False,True,2024,3,11
88,2.84,1,1,3,2.0,1288,4,2,0,2,17,0,8,735000.0,42,False,True,2024,3,22
43,1.74,1,1,3,2.0,1686,3,1,0,2,58,7,8,750000.0,77,False,True,2024,5,3
36,0.1326,1,1,3,2.0,1040,3,0,0,2,72,5,4,320000.0,66,False,True,2024,5,1
9,0.534,1,1,3,2.5,2415,7,2,0,2,72,1,1,1235000.0,76,False,True,2024,5,16
